,Date,Low,High,Close,Open
447,2020-09-23,10136.82,10537.15,10241.46,10529.61
446,2020-09-22,10353.0,10572.71,10529.61,10417.22
445,2020-09-21,10296.35,10988.86,10417.22,10920.28
444,2020-09-20,10723.0,11080.64,10920.28,11080.64
443,2020-09-19,10887.37,11179.79,11080.65,10933.4
442,2020-09-18,10812.84,11038.03,10933.39,10940.0
441,2020-09-17,10745.83,11045.46,10939.99,10954.01
440,2020-09-16,10661.22,11093.0,10954.01,10785.23
439,2020-09-15,10606.48,10930.04,10785.31,10671.77
438,2020-09-14,10212.34,10750.0,10671.77,10332.84
437,2020-09-13,10200.0,10580.11,10332.83,10440.67
436,2020-09-12,10269.25,10477.97,10440.92,10387.89
435,2020-09-11,10200.0,10397.6,10387.89,10336.86
434,2020-09-10,10070.83,10483.35,10336.87,10219.29
433,2020-09-09,9981.01,10343.0,10219.2,10126.66
432,2020-09-08,9850.0,10438.0,10126.65,10373.45
431,2020-09-07,9875.0,10410.75,10373.44,10255.89
430,2020-09-06,9994.86,10347.14,10256.2,10166.69
429,2020-09-05,9825.0,10565.68,10166.69,10446.25
428,2020-09-04,9875.5,10627.05,10446.25,10138.29
427,2020-09-03,9960.8,11462.6,10140.85,11388.54
426,2020-09-02,11160.1,11954.57,11388.54,11921.97
425,2020-09-01,11515.0,12050.85,11921.97,11649.51
424,2020-08-31,11570.0,11800.77,11649.51,11711.17
423,2020-08-30,11458.0,11719.0,11711.16,11465.84
422,2020-08-29,11417.04,11580.02,11465.84,11526.9
421,2020-08-28,11276.89,11542.65,11526.91,11330.38
420,2020-08-27,11125.0,11592.2,11330.38,11461.42
419,2020-08-26,11244.0,11539.32,11461.43,11318.42
418,2020-08-25,11117.64,11767.85,11318.42,11748.19
417,2020-08-24,11585.09,11824.9,11748.2,11648.12
416,2020-08-23,11514.13,11718.07,11648.13,11663.51
415,2020-08-22,11376.81,11686.0,11662.96,11531.23
414,2020-08-21,11485.81,11878.0,11531.34,11853.54
413,2020-08-20,11668.0,11888.0,11853.55,11754.38
412,2020-08-19,11561.0,12020.08,11754.59,11945.1
411,2020-08-18,11817.93,12387.77,11945.01,12281.15
410,2020-08-17,11769.78,12468.0,12281.13,11910.99
409,2020-08-16,11686.0,11931.72,11911.0,11852.4
408,2020-08-15,11680.0,11980.0,11852.4,11760.55
407,2020-08-14,11634.03,11850.0,11760.54,11779.77
406,2020-08-13,11270.36,11792.96,11780.0,11564.34
405,2020-08-12,11150.0,11617.52,11564.33,11392.09
404,2020-08-11,11125.0,11935.0,11392.08,11892.9
403,2020-08-10,11450.0,12067.35,11892.92,11681.69
402,2020-08-09,11521.97,11797.11,11681.68,11761.02
401,2020-08-08,11512.0,11808.27,11761.41,11594.36
400,2020-08-07,11322.0,11909.94,11594.23,11762.47
399,2020-08-06,11562.5,11900.0,11762.46,11744.91
398,2020-08-05,11093.0,11780.93,11744.91,11191.99
397,2020-08-04,11000.0,11414.98,11191.97,11219.68
396,2020-08-03,10936.0,11473.0,11219.81,11071.36
395,2020-08-02,10518.5,12123.46,11071.35,11801.17
394,2020-08-01,11220.0,11861.0,11801.17,11335.46
393,2020-07-31,10960.0,11444.0,11335.46,11099.79
392,2020-07-30,10831.0,11170.0,11099.61,11100.52
391,2020-07-29,10812.0,11342.82,11100.53,10906.27
390,2020-07-28,10565.0,11242.23,10906.27,11029.96
389,2020-07-27,9917.21,11394.86,11029.96,9931.54
388,2020-07-26,9650.0,10111.0,9931.54,9700.42
387,2020-07-25,9513.0,9732.9,9700.42,9538.1
386,2020-07-24,9463.44,9637.0,9537.8,9603.27
385,2020-07-23,9440.33,9664.0,9603.27,9518.16
384,2020-07-22,9261.0,9544.0,9518.16,9390.0
383,2020-07-21,9152.8,9437.73,9390.0,9160.78
382,2020-07-20,9131.0,9221.52,9160.78,9208.99
381,2020-07-19,9101.35,9232.27,9208.99,9170.3
380,2020-07-18,9121.1,9219.3,9170.28,9154.31
379,2020-07-17,9089.81,9186.83,9154.32,9133.72
378,2020-07-16,9047.25,9226.15,9133.72,9197.6
377,2020-07-15,9160.57,9276.49,9197.6,9255.85
376,2020-07-14,9113.0,9279.54,9255.85,9242.61
375,2020-07-13,9200.89,9343.82,9242.62,9303.31
374,2020-07-12,9157.5,9345.0,9302.75,9234.02
373,2020-07-11,9178.25,9299.28,9234.03,9288.34
372,2020-07-10,9125.0,9317.48,9288.34,9232.42
371,2020-07-09,9160.0,9440.79,9232.43,9436.06
370,2020-07-08,9231.0,9470.0,9436.06,9257.4
369,2020-07-07,9203.0,9379.42,9257.39,9342.47
368,2020-07-06,9055.92,9375.0,9344.2,9069.41
367,2020-07-05,8893.03,9145.24,9069.41,9135.0
366,2020-07-04,9040.04,9190.0,9135.46,9057.79
365,2020-07-03,9037.47,9125.0,9058.26,9086.54
364,2020-07-02,8940.0,9261.96,9086.54,9231.99
363,2020-07-01,9080.1,9292.0,9232.0,9138.08
362,2020-06-30,9064.89,9205.0,9138.55,9192.93
361,2020-06-29,9024.67,9238.0,9192.56,9116.16
360,2020-06-28,8948.06,9191.0,9116.35,9012.0
359,2020-06-27,8833.0,9196.24,9012.0,9162.21
358,2020-06-26,9045.45,9298.0,9162.21,9249.49
357,2020-06-25,9009.69,9340.0,9249.49,9298.33
356,2020-06-24,9208.0,9670.0,9296.49,9624.33
355,2020-06-23,9577.03,9720.0,9624.89,9685.69
354,2020-06-22,9277.09,9780.0,9685.69,9294.69
353,2020-06-21,9281.54,9422.0,9294.69,9358.95
352,2020-06-20,9170.95,9395.0,9358.95,9310.23
351,2020-06-19,9215.79,9438.3,9310.23,9386.32
350,2020-06-18,9280.0,9489.0,9386.32,9465.13
349,2020-06-17,9236.61,9565.0,9465.14,9526.97
348,2020-06-16,9373.09,9589.0,9525.59,9426.05
347,2020-06-15,8910.45,9495.0,9426.02,9342.1
346,2020-06-14,9245.0,9480.99,9342.1,9473.34
345,2020-06-13,9351.0,9494.73,9473.34,9464.96
344,2020-06-12,9232.51,9557.12,9465.13,9278.88
343,2020-06-11,9113.0,9964.0,9280.4,9885.22
342,2020-06-10,9704.18,9992.72,9885.0,9772.44
341,2020-06-09,9570.0,9877.0,9772.43,9782.0
340,2020-06-08,9633.0,9800.0,9782.01,9746.99
339,2020-06-07,9372.46,9802.0,9746.99,9666.85
338,2020-06-06,9531.05,9735.0,9666.3,9621.17
337,2020-06-05,9581.0,9854.75,9621.16,9788.14
336,2020-06-04,9450.0,9881.63,9789.06,9666.32
335,2020-06-03,9365.21,9690.0,9666.24,9518.02
334,2020-06-02,9266.0,10228.99,9518.04,10202.71
333,2020-06-01,9421.67,10380.0,10200.77,9448.27
332,2020-05-31,9381.41,9700.0,9448.27,9697.72
331,2020-05-30,9331.23,9740.0,9697.72,9426.6
330,2020-05-29,9330.0,9605.26,9427.07,9575.87
329,2020-05-28,9110.0,9625.47,9575.89,9204.07
328,2020-05-27,8811.73,9225.0,9204.07,8841.0
327,2020-05-26,8700.0,9017.67,8841.18,8900.35
326,2020-05-25,8642.72,8979.66,8900.35,8718.14
325,2020-05-24,8700.0,9298.0,8720.34,9179.01
324,2020-05-23,9070.0,9307.85,9179.15,9170.0
323,2020-05-22,8933.52,9271.0,9170.0,9067.51
322,2020-05-21,8815.0,9578.47,9068.65,9511.43
321,2020-05-20,9326.0,9842.0,9511.43,9775.13
320,2020-05-19,9474.0,9897.21,9775.53,9733.93
319,2020-05-18,9464.23,9950.0,9733.93,9681.11
318,2020-05-17,9322.1,9888.0,9680.04,9380.81
317,2020-05-16,9220.0,9588.0,9381.27,9315.96
316,2020-05-15,9150.0,9845.62,9316.42,9791.97
315,2020-05-14,9256.76,9939.0,9791.98,9309.35
314,2020-05-13,8792.99,9398.0,9309.37,8810.99
313,2020-05-12,8528.78,8978.26,8810.79,8562.04
312,2020-05-11,8200.0,9168.0,8561.52,8722.77
311,2020-05-10,8117.0,9574.83,8722.77,9539.1
310,2020-05-09,9520.0,9914.25,9539.4,9800.02
309,2020-05-08,9705.0,10035.96,9800.01,9986.3
308,2020-05-07,9021.0,10067.0,9986.4,9143.4
307,2020-05-06,8906.21,9395.0,9142.92,9021.36
306,2020-05-05,8760.0,9118.58,9021.83,8871.92
305,2020-05-04,8522.0,8950.0,8871.96,8894.15
304,2020-05-03,8712.0,9200.0,8894.16,8972.58
303,2020-05-02,8753.0,9010.0,8972.05,8825.67
302,2020-05-01,8613.56,9059.18,8826.96,8620.0
301,2020-04-30,8401.0,9460.0,8620.0,8778.58
300,2020-04-29,7710.05,8952.89,8778.57,7738.58
299,2020-04-28,7659.12,7780.0,7738.98,7773.51
298,2020-04-27,7606.0,7792.02,7774.62,7693.1
297,2020-04-26,7480.0,7700.0,7693.1,7539.03
296,2020-04-25,7431.07,7705.0,7538.67,7505.0
295,2020-04-24,7388.0,7615.96,7505.0,7483.96
294,2020-04-23,7020.0,7738.0,7482.39,7125.12
293,2020-04-22,6818.0,7156.38,7125.14,6841.36
292,2020-04-21,6762.0,6940.0,6841.37,6828.98
291,2020-04-20,6751.0,7220.0,6826.83,7121.4
290,2020-04-19,7055.6,7266.15,7120.74,7248.6
289,2020-04-18,7014.4,7293.08,7248.6,7026.78
288,2020-04-17,6972.98,7148.12,7027.55,7101.99
287,2020-04-16,6468.27,7190.0,7101.94,6621.25
286,2020-04-15,6605.0,6933.0,6621.24,6868.57
285,2020-04-14,6754.28,6978.0,6868.7,6838.04
284,2020-04-13,6575.0,6903.79,6837.91,6903.79
283,2020-04-12,6780.0,7177.0,6903.79,6876.84
282,2020-04-11,6760.0,6944.3,6876.83,6858.92
281,2020-04-10,6739.98,7295.75,6858.92,7283.54
280,2020-04-09,7108.08,7371.92,7283.54,7360.26
279,2020-04-08,7150.0,7420.0,7361.28,7197.32
278,2020-04-07,7077.0,7459.69,7197.32,7329.9
277,2020-04-06,6765.0,7355.14,7329.9,6772.78
276,2020-04-05,6677.52,6895.54,6772.78,6857.41
275,2020-04-04,6650.01,6990.41,6856.99,6732.97
274,2020-04-03,6602.1,7048.0,6734.1,6793.86
273,2020-04-02,6551.0,7198.0,6794.09,6643.36
272,2020-04-01,6150.11,6679.94,6642.92,6412.14
271,2020-03-31,6321.4,6523.23,6410.44,6394.45
270,2020-03-30,5857.76,6599.0,6394.38,5880.5
269,2020-03-29,5866.56,6266.0,5881.42,6236.65
268,2020-03-28,6024.0,6360.0,6236.65,6359.11
267,2020-03-27,6261.0,6842.59,6359.11,6737.27
266,2020-03-26,6510.0,6780.0,6737.36,6677.42
265,2020-03-25,6450.0,6957.96,6677.43,6744.69
264,2020-03-24,6371.33,6833.0,6744.72,6465.25
263,2020-03-23,5688.0,6600.0,6467.31,5816.05
262,2020-03-22,5734.01,6407.87,5816.19,6187.04
261,2020-03-21,5860.02,6456.98,6186.98,6204.57
260,2020-03-20,5670.0,6900.0,6208.36,6162.05
259,2020-03-19,5252.53,6400.0,6162.37,5393.26
258,2020-03-18,5009.37,5436.17,5393.04,5312.64
257,2020-03-17,4921.45,5525.0,5312.64,5028.86
256,2020-03-16,4442.12,5365.42,5028.97,5360.33
255,2020-03-15,5093.1,5940.0,5361.3,5172.48
254,2020-03-14,5055.13,5640.52,5172.06,5576.05
253,2020-03-13,3782.13,5955.0,5578.6,4800.01
252,2020-03-12,4410.0,7966.17,4800.0,7934.58
251,2020-03-11,7590.0,7980.0,7934.52,7894.57
250,2020-03-10,7728.01,8149.0,7894.56,7929.87
249,2020-03-09,7632.01,8179.31,7929.87,8034.76
248,2020-03-08,8000.0,8886.76,8033.31,8885.25
247,2020-03-07,8835.0,9188.0,8886.66,9130.89
246,2020-03-06,8985.5,9170.0,9131.88,9054.64
245,2020-03-05,8746.54,9159.42,9054.68,8750.99
244,2020-03-04,8660.0,8848.29,8750.87,8760.07
243,2020-03-03,8651.0,8919.65,8760.07,8911.18
242,2020-03-02,8498.0,8965.75,8915.24,8530.3
241,2020-03-01,8411.0,8750.0,8531.88,8523.61
240,2020-02-29,8523.55,8790.0,8523.61,8690.8
239,2020-02-28,8445.0,8900.0,8692.91,8823.25
238,2020-02-27,8531.0,8971.77,8823.21,8786.0
237,2020-02-26,8633.63,9377.44,8785.25,9316.48
236,2020-02-25,9250.0,9675.0,9315.84,9655.52
235,2020-02-24,9473.56,9990.0,9656.13,9936.4
234,2020-02-23,9645.0,9990.0,9936.4,9650.85
233,2020-02-22,9560.02,9709.17,9650.86,9677.05
232,2020-02-21,9550.21,9755.51,9677.05,9597.21
231,2020-02-20,9400.0,9699.0,9596.42,9594.65
230,2020-02-19,9350.0,10250.0,9593.79,10164.78
229,2020-02-18,9576.01,10250.0,10164.71,9706.0
228,2020-02-17,9452.67,9964.16,9706.0,9910.7
227,2020-02-16,9638.12,10050.0,9917.27,9904.46
226,2020-02-15,9801.0,10375.0,9904.72,10344.36
225,2020-02-14,10111.37,10381.56,10344.36,10227.78
224,2020-02-13,10080.0,10500.0,10229.63,10325.33
223,2020-02-12,10223.08,10450.0,10326.46,10223.08
222,2020-02-11,9700.0,10323.59,10223.08,9851.74
221,2020-02-10,9756.0,10188.0,9851.83,10151.72
220,2020-02-09,9880.75,10166.0,10151.75,9895.04
219,2020-02-08,9667.11,9940.0,9895.05,9813.87
218,2020-02-07,9730.0,9885.0,9813.73,9772.0
217,2020-02-06,9526.35,9862.57,9772.0,9612.03
216,2020-02-05,9177.22,9744.45,9612.04,9197.02
215,2020-02-04,9093.01,9350.0,9197.02,9291.35
214,2020-02-03,9234.0,9618.79,9292.24,9331.59
213,2020-02-02,9120.0,9477.03,9331.51,9384.41
212,2020-02-01,9281.0,9464.53,9384.61,9351.71
211,2020-01-31,9210.01,9530.22,9352.89,9511.52
210,2020-01-30,9204.44,9578.0,9513.21,9301.57
209,2020-01-29,9216.0,9449.24,9301.53,9375.34
208,2020-01-28,8862.4,9400.0,9374.21,8907.57
207,2020-01-27,8535.0,9000.0,8907.57,8614.39
206,2020-01-26,8293.66,8618.13,8615.0,8340.01
205,2020-01-25,8254.9,8451.26,8340.58,8438.99
204,2020-01-24,8238.0,8528.02,8439.0,8404.52
203,2020-01-23,8306.39,8691.81,8404.52,8682.77
202,2020-01-22,8590.0,8818.0,8682.36,8736.04
201,2020-01-21,8488.0,8789.0,8736.03,8642.35
200,2020-01-20,8521.28,8746.99,8642.35,8701.72
199,2020-01-19,8466.0,9198.98,8701.7,8915.09
198,2020-01-18,8806.38,8988.88,8915.96,8913.27
197,2020-01-17,8672.44,9041.65,8913.28,8720.15
196,2020-01-16,8586.0,8859.81,8720.01,8820.01
195,2020-01-15,8564.0,8916.48,8821.41,8814.64
194,2020-01-14,8105.54,8880.0,8810.01,8110.34
193,2020-01-13,8055.89,8196.0,8110.34,8184.97
192,2020-01-12,7960.0,8197.0,8184.98,8020.01
191,2020-01-11,8003.16,8286.34,8020.01,8198.86
190,2020-01-10,7672.0,8199.0,8197.02,7817.74
189,2020-01-09,7750.0,8055.96,7817.76,8054.72
188,2020-01-08,7870.0,8455.0,8055.98,8145.92
187,2020-01-07,7723.71,8207.68,8145.28,7758.9
186,2020-01-06,7346.76,7795.34,7758.0,7357.64
185,2020-01-05,7318.0,7495.0,7358.75,7354.19
184,2020-01-04,7272.21,7404.0,7354.11,7345.0
183,2020-01-03,6871.04,7405.0,7344.96,6965.49
182,2020-01-02,6924.74,7212.5,6965.71,7200.77
181,2020-01-01,7175.15,7255.0,7200.85,7195.24
180,2019-12-31,7145.01,7320.0,7195.23,7246.0
179,2019-12-30,7220.0,7408.24,7246.0,7388.43
178,2019-12-29,7288.0,7528.45,7388.24,7315.36
177,2019-12-28,7238.67,7365.01,7316.14,7254.77
176,2019-12-27,7076.42,7275.86,7254.74,7202.0
175,2019-12-26,7157.12,7435.0,7202.0,7205.01
174,2019-12-25,7128.86,7271.77,7204.63,7255.77
173,2019-12-24,7157.04,7436.68,7255.77,7317.3
172,2019-12-23,7265.84,7695.38,7317.09,7500.71
171,2019-12-22,7122.47,7518.54,7501.44,7131.59
170,2019-12-21,7105.0,7190.58,7132.75,7188.01
169,2019-12-20,7079.5,7220.0,7187.83,7151.31
168,2019-12-19,7038.31,7380.0,7150.3,7277.83
167,2019-12-18,6435.0,7440.0,7277.83,6623.84
166,2019-12-17,6560.0,6942.21,6623.82,6891.44
165,2019-12-16,6836.0,7150.0,6891.72,7119.6
164,2019-12-15,7008.35,7200.3,7118.59,7064.14
163,2019-12-14,7012.0,7271.77,7064.05,7257.37
162,2019-12-13,7190.76,7309.05,7258.48,7197.76
161,2019-12-12,7080.3,7295.0,7198.08,7210.0
160,2019-12-11,7125.66,7275.5,7210.0,7224.15
159,2019-12-10,7157.1,7407.6,7224.13,7338.64
158,2019-12-09,7273.0,7650.0,7338.64,7510.11
157,2019-12-08,7374.86,7564.0,7510.11,7487.31
156,2019-12-07,7470.16,7619.62,7488.21,7527.8
155,2019-12-06,7305.0,7590.03,7527.47,7389.0
154,2019-12-05,7150.0,7485.0,7389.0,7194.59
153,2019-12-04,7067.0,7750.0,7194.32,7292.71
152,2019-12-03,7241.35,7400.0,7292.71,7294.42
151,2019-12-02,7151.1,7420.56,7294.28,7391.5
150,2019-12-01,7210.0,7541.85,7390.89,7540.63
149,2019-11-30,7441.0,7810.0,7541.89,7740.99
